year,county,state,rangeland_lb_acre,wheat_winter_acres_harvested,wheat_winter_acres_planted,wheat_winter_bu,wheat_winter_bu_acre,wheat_spring_acres_harvested,wheat_spring_acres_planted,wheat_spring_bu,wheat_spring_bu_acre
1993,BUTTE,SOUTH DAKOTA,1581.8299200542,7400.0,8200.0,251600.0,34.0,7300.0,8600.0,211700.0,29.0
1993,HARDING,SOUTH DAKOTA,1753.6168601207,2500.0,4500.0,85000.0,34.0,20000.0,25700.0,600000.0,30.0
1993,MCKENZIE,NORTH DAKOTA,1862.1148507554,5900.0,6500.0,228100.0,38.7,126500.0,127500.0,4477000.0,35.4
1993,SCOTTS BLUFF,NEBRASKA,1077.6230227456,10600.0,11600.0,317800.0,30.0,nan,nan,nan,nan
1993,SIOUX,NEBRASKA,1188.8198569524,5000.0,5500.0,198700.0,39.7,nan,nan,nan,nan
1993,WILLIAMS,NORTH DAKOTA,2059.0162734359,14100.0,15000.0,441900.0,31.3,224100.0,225900.0,8314800.0,37.1
1994,BUTTE,SOUTH DAKOTA,906.62900311572,6800.0,7300.0,217600.0,32.0,8000.0,10400.0,216000.0,27.0
1994,HARDING,SOUTH DAKOTA,1073.1353096851,1300.0,1500.0,33800.0,26.0,24500.0,32000.0,588000.0,24.0
1994,MCKENZIE,NORTH DAKOTA,1815.9793488115,2500.0,2500.0,69700.0,27.9,120900.0,121900.0,4188300.0,34.6
1994,SCOTTS BLUFF,NEBRASKA,828.48182449641,8000.0,11500.0,231000.0,28.9,nan,nan,nan,nan
1994,SIOUX,NEBRASKA,746.89163172951,3500.0,5400.0,86300.0,24.7,nan,nan,nan,nan
1994,WILLIAMS,NORTH DAKOTA,2025.3002302218,3200.0,3400.0,101500.0,31.7,194500.0,195500.0,6265600.0,32.2
1995,BUTTE,SOUTH DAKOTA,1713.2687541055,9000.0,9200.0,351000.0,39.0,7000.0,8200.0,203000.0,29.0
1995,HARDING,SOUTH DAKOTA,2040.3784831781,nan,nan,nan,nan,24800.0,27100.0,471200.0,19.0
1995,MCKENZIE,NORTH DAKOTA,2085.4603814333,1500.0,1700.0,39000.0,26.0,105800.0,106800.0,2704400.0,25.6
